timestamp,luminaire_id,ambient_temp,heatsink_temp,junction_temp_true,current,voltage,power,dimming_pct
2026-09-18 13:07:58,LUM-101,24.91,26.86,84.87,1.339,48.14,64.46,89.3
2026-09-18 13:08:08,LUM-101,24.95,28.48,81.03,1.213,48.16,58.39,80.8
2026-09-18 13:08:18,LUM-101,25.04,29.96,79.35,1.145,47.93,54.87,76.3
2026-09-18 13:08:28,LUM-101,25.03,31.82,94.6,1.448,48.17,69.76,96.5
2026-09-18 13:08:38,LUM-101,24.99,33.33,88.88,1.284,48.07,61.73,85.6
2026-09-18 13:08:48,LUM-101,25.03,34.9,92.49,1.334,47.98,63.99,88.9
2026-09-18 13:08:58,LUM-101,25.11,36.27,90.07,1.25,47.82,59.79,83.3
2026-09-18 13:09:08,LUM-101,24.97,37.56,89.43,1.199,48.07,57.63,79.9
2026-09-18 13:09:18,LUM-101,25.08,39.13,103.87,1.495,48.13,71.93,99.6
2026-09-18 13:09:28,LUM-101,25.08,40.33,93.98,1.242,47.99,59.61,82.8
2026-09-18 13:09:38,LUM-101,25.12,41.25,86.98,1.058,48.02,50.82,70.5
2026-09-18 13:09:48,LUM-101,25.04,42.66,103.48,1.411,47.88,67.57,94.1
2026-09-18 13:09:58,LUM-101,25.05,43.86,100.87,1.321,47.94,63.34,88.1
2026-09-18 13:10:08,LUM-101,25.03,45.26,109.58,1.487,48.05,71.47,99.2
2026-09-18 13:10:18,LUM-101,25.1,46.53,107.83,1.423,47.88,68.11,94.8
2026-09-18 13:10:28,LUM-101,24.94,47.86,111.69,1.479,47.94,70.92,98.6
2026-09-18 13:10:38,LUM-101,25.13,49.09,113.11,1.481,48.03,71.14,98.7
2026-09-18 13:10:48,LUM-101,25.08,49.77,96.57,1.079,48.17,51.99,72.0
2026-09-18 13:10:58,LUM-101,24.97,50.8,110.68,1.383,48.1,66.53,92.2
2026-09-18 13:11:08,LUM-101,24.95,51.81,111.22,1.375,47.99,66.01,91.7
2026-09-18 13:11:18,LUM-101,25.05,52.57,106.27,1.246,47.89,59.66,83.0
2026-09-18 13:11:28,LUM-101,25.09,53.11,99.97,1.087,47.89,52.06,72.5
2026-09-18 13:11:38,LUM-101,25.03,53.69,102.95,1.145,47.8,54.73,76.3
2026-09-18 13:11:48,LUM-101,25.05,54.25,103.3,1.133,48.13,54.51,75.5
2026-09-18 13:11:58,LUM-101,25.11,55.23,118.48,1.463,48.05,70.28,97.5
2026-09-18 13:12:08,LUM-101,25.01,55.75,102.87,1.088,48.13,52.36,72.5
2026-09-18 13:12:18,LUM-101,25.02,56.59,114.58,1.339,48.11,64.43,89.3
2026-09-18 13:12:28,LUM-101,24.99,57.06,106.11,1.139,47.86,54.5,75.9
2026-09-18 13:12:38,LUM-101,25.16,57.85,117.17,1.374,47.95,65.9,91.6
2026-09-18 13:12:48,LUM-101,25.05,58.26,105.92,1.104,47.95,52.96,73.6
2026-09-18 13:12:58,LUM-101,25.07,59.12,121.75,1.454,47.85,69.59,97.0
2026-09-18 13:13:08,LUM-101,25.04,59.99,122.8,1.454,48.0,69.79,96.9
2026-09-18 13:13:18,LUM-101,25.03,60.61,118.62,1.344,47.98,64.46,89.6
2026-09-18 13:13:28,LUM-101,25.12,61.42,124.1,1.456,47.84,69.65,97.1
2026-09-18 13:13:38,LUM-101,25.09,61.88,113.53,1.197,47.95,57.4,79.8
2026-09-18 13:13:48,LUM-101,25.0,62.72,127.04,1.494,47.83,71.47,99.6
2026-09-18 13:13:58,LUM-101,25.09,62.95,111.1,1.113,48.06,53.5,74.2
2026-09-18 13:14:08,LUM-101,25.06,63.29,114.56,1.191,47.85,56.96,79.4
2026-09-18 13:14:18,LUM-101,25.02,63.98,125.83,1.431,48.02,68.72,95.4
2026-09-18 13:14:28,LUM-101,25.0,64.17,111.61,1.094,48.18,52.71,72.9
2026-09-18 13:14:38,LUM-101,25.03,64.36,110.39,1.064,48.06,51.15,70.9
2026-09-18 13:14:48,LUM-101,25.12,64.74,117.81,1.23,47.94,58.97,82.0
2026-09-18 13:14:58,LUM-101,25.04,65.05,115.59,1.166,48.15,56.16,77.7
2026-09-18 13:15:08,LUM-101,25.06,65.16,110.81,1.053,48.18,50.71,70.2
2026-09-18 13:15:18,LUM-101,25.03,65.45,116.65,1.185,48.02,56.89,79.0
2026-09-18 13:15:28,LUM-101,25.12,65.67,115.89,1.159,48.15,55.8,77.3
