timestamp,luminaire_id,ambient_temp,heatsink_temp,junction_temp_true,current,voltage,power,dimming_pct,dT_dt,delta_T_ambient,heatsink_rolling_avg,power_rolling_avg,target_junction_temp_15m
2026-09-18 13:12:48,LUM-101,25.05,58.26,105.92,1.104,47.95,52.96,73.6,0.4099999999999966,33.209999999999994,45.39633333333334,61.715,128.23
2026-09-18 13:12:58,LUM-101,25.07,59.12,121.75,1.454,47.85,69.59,97.0,0.8599999999999994,34.05,46.47166666666667,61.885999999999996,121.58
2026-09-18 13:13:08,LUM-101,25.04,59.99,122.8,1.454,48.0,69.79,96.9,0.8700000000000045,34.95,47.522000000000006,62.266,121.33
2026-09-18 13:13:18,LUM-101,25.03,60.61,118.62,1.344,47.98,64.46,89.6,0.6199999999999974,35.58,48.54366666666667,62.58566666666666,129.06
2026-09-18 13:13:28,LUM-101,25.12,61.42,124.1,1.456,47.84,69.65,97.1,0.8100000000000023,36.3,49.53033333333334,62.582,124.81
2026-09-18 13:13:38,LUM-101,25.09,61.88,113.53,1.197,47.95,57.4,79.8,0.46000000000000085,36.790000000000006,50.482,62.437666666666665,128.04
2026-09-18 13:13:48,LUM-101,25.0,62.72,127.04,1.494,47.83,71.47,99.6,0.8399999999999963,37.72,51.40933333333334,62.687,138.38
2026-09-18 13:13:58,LUM-101,25.09,62.95,111.1,1.113,48.06,53.5,74.2,0.23000000000000398,37.86,52.29866666666667,62.477333333333334,136.87
2026-09-18 13:14:08,LUM-101,25.06,63.29,114.56,1.191,47.85,56.96,79.4,0.3399999999999963,38.230000000000004,53.156333333333336,62.455000000000005,123.73
2026-09-18 13:14:18,LUM-101,25.02,63.98,125.83,1.431,48.02,68.72,95.4,0.6899999999999977,38.959999999999994,53.98466666666666,62.348,137.59
2026-09-18 13:14:28,LUM-101,25.0,64.17,111.61,1.094,48.18,52.71,72.9,0.19000000000000483,39.17,54.77933333333333,62.118,139.11
2026-09-18 13:14:38,LUM-101,25.03,64.36,110.39,1.064,48.06,51.15,70.9,0.18999999999999773,39.33,55.54966666666667,62.129,133.75
2026-09-18 13:14:48,LUM-101,25.12,64.74,117.81,1.23,47.94,58.97,82.0,0.37999999999999545,39.61999999999999,56.28566666666667,61.842333333333336,126.91
2026-09-18 13:14:58,LUM-101,25.04,65.05,115.59,1.166,48.15,56.16,77.7,0.3100000000000023,40.01,56.992,61.602999999999994,123.89
2026-09-18 13:15:08,LUM-101,25.06,65.16,110.81,1.053,48.18,50.71,70.2,0.10999999999999943,40.099999999999994,57.65533333333333,60.91100000000001,137.08
2026-09-18 13:15:18,LUM-101,25.03,65.45,116.65,1.185,48.02,56.89,79.0,0.29000000000000625,40.42,58.285999999999994,60.537,136.12
2026-09-18 13:15:28,LUM-101,25.12,65.67,115.89,1.159,48.15,55.8,77.3,0.21999999999999886,40.55,58.87966666666667,60.03300000000001,139.87
2026-09-18 13:15:38,LUM-101,25.16,65.99,119.25,1.231,48.09,59.18,82.0,0.3199999999999932,40.83,59.443,59.63433333333333,127.99
2026-09-18 13:15:48,LUM-101,25.05,66.45,123.76,1.329,47.91,63.68,88.6,0.46000000000000796,41.400000000000006,59.999,60.024,137.49
2026-09-18 13:15:58,LUM-101,25.07,66.7,119.22,1.213,48.1,58.35,80.9,0.25,41.63,60.528999999999996,59.751333333333335,124.56
2026-09-18 13:16:08,LUM-101,25.09,66.98,120.28,1.23,48.17,59.23,82.0,0.28000000000000114,41.89,61.034666666666666,59.525333333333336,126.9
2026-09-18 13:16:18,LUM-101,25.1,67.28,122.53,1.281,47.92,61.39,85.4,0.29999999999999716,42.18,61.525,59.583,123.2
2026-09-18 13:16:28,LUM-101,25.19,67.8,128.27,1.394,48.19,67.19,92.9,0.519999999999996,42.61,62.01466666666667,60.08733333333334,130.05
2026-09-18 13:16:38,LUM-101,25.2,68.2,124.91,1.314,47.95,63.02,87.6,0.4000000000000057,43.0,62.49833333333333,60.36366666666667,137.7
2026-09-18 13:16:48,LUM-101,25.1,68.18,113.91,1.058,48.04,50.82,70.5,-0.01999999999999602,43.080000000000005,62.962666666666664,60.24066666666667,132.08
2026-09-18 13:16:58,LUM-101,25.08,68.41,121.02,1.216,48.08,58.46,81.1,0.22999999999998977,43.33,63.402,59.84666666666667,129.99
2026-09-18 13:17:08,LUM-101,25.21,68.43,114.14,1.06,47.9,50.79,70.7,0.020000000000010232,43.220000000000006,63.824666666666666,59.794333333333334,134.03
2026-09-18 13:17:18,LUM-101,25.08,68.66,122.03,1.233,48.11,59.29,82.2,0.22999999999998977,43.58,64.227,59.623000000000005,127.55
2026-09-18 13:17:28,LUM-101,25.09,68.69,115.13,1.073,48.08,51.6,71.6,0.030000000000001137,43.599999999999994,64.61466666666666,59.52633333333334,132.79
2026-09-18 13:17:38,LUM-101,25.21,69.2,132.26,1.464,47.87,70.07,97.6,0.5100000000000051,43.99,64.993,59.665333333333336,131.22
2026-09-18 13:17:48,LUM-101,25.04,69.22,117.92,1.132,47.82,54.11,75.4,0.01999999999999602,44.18,65.35833333333333,59.70366666666666,121.65
2026-09-18 13:17:58,LUM-101,25.15,69.72,132.01,1.436,48.18,69.21,95.8,0.5,44.57,65.71166666666666,59.691,136.25
2026-09-18 13:18:08,LUM-101,25.11,70.1,128.89,1.356,48.16,65.32,90.4,0.37999999999999545,44.989999999999995,66.04866666666666,59.542,141.63
2026-09-18 13:18:18,LUM-101,25.14,70.41,126.63,1.305,47.87,62.47,87.0,0.3100000000000023,45.269999999999996,66.37533333333334,59.47566666666667,137.09
2026-09-18 13:18:28,LUM-101,25.21,70.5,120.86,1.165,48.0,55.95,77.7,0.09000000000000341,45.29,66.67800000000001,59.019,123.18
2026-09-18 13:18:38,LUM-101,25.14,70.54,121.09,1.168,48.08,56.17,77.9,0.04000000000000625,45.400000000000006,66.96666666666667,58.978,137.56
2026-09-18 13:18:48,LUM-101,25.15,70.94,130.81,1.386,47.99,66.53,92.4,0.3999999999999915,45.79,67.24066666666666,58.81333333333334,123.53
2026-09-18 13:18:58,LUM-101,25.05,71.42,133.95,1.446,48.06,69.48,96.4,0.480000000000004,46.370000000000005,67.523,59.346000000000004,138.92
2026-09-18 13:19:08,LUM-101,25.11,71.65,126.77,1.278,47.94,61.25,85.2,0.23000000000000398,46.540000000000006,67.80166666666666,59.489000000000004,135.02
2026-09-18 13:19:18,LUM-101,25.14,71.93,131.33,1.37,48.18,66.0,91.3,0.28000000000000114,46.790000000000006,68.06666666666666,59.39833333333333,126.72
2026-09-18 13:19:28,LUM-101,25.17,72.26,132.0,1.378,48.17,66.37,91.9,0.3299999999999983,47.09,68.33633333333334,59.85366666666666,128.16
2026-09-18 13:19:38,LUM-101,25.19,72.53,132.0,1.378,47.95,66.08,91.9,0.269999999999996,47.34,68.60866666666666,60.351333333333336,134.34
2026-09-18 13:19:48,LUM-101,25.19,72.48,120.06,1.103,47.91,52.87,73.6,-0.04999999999999716,47.290000000000006,68.86666666666666,60.148,128.29
2026-09-18 13:19:58,LUM-101,25.14,72.34,118.86,1.076,48.06,51.69,71.7,-0.14000000000000057,47.2,69.10966666666667,59.999,124.21
2026-09-18 13:20:08,LUM-101,25.12,72.73,134.42,1.429,47.95,68.54,95.3,0.39000000000000057,47.61,69.36200000000001,60.593333333333334,126.8
2026-09-18 13:20:18,LUM-101,25.25,72.96,131.6,1.363,47.82,65.15,90.8,0.22999999999998977,47.709999999999994,69.61233333333332,60.86866666666667,138.77
2026-09-18 13:20:28,LUM-101,25.15,73.41,137.12,1.478,47.9,70.79,98.5,0.45000000000000284,48.26,69.87033333333333,61.36833333333333,141.65
2026-09-18 13:20:38,LUM-101,25.22,73.3,122.51,1.137,48.07,54.68,75.8,-0.10999999999999943,48.08,70.114,61.21833333333334,141.22
2026-09-18 13:20:48,LUM-101,25.21,73.63,135.18,1.427,47.94,68.38,95.1,0.3299999999999983,48.419999999999995,70.35333333333332,61.375,133.7
